State,Total parks,Exclusive parks,Shared parks
California,9,8,1
Alaska,8,8,—
Utah,5,5,—
Colorado,4,4,—
Arizona,3,3,—
Florida,3,3,—
Washington,3,3,—
Hawaii,2,2,—
New Mexico,2,2,—
South Dakota,2,2,—
Texas,2,2,—
Montana,2,1,1
Nevada,2,1,1
Wyoming,2,1,1
American Samoa,1,1,—
Arkansas,1,1,—
Indiana,1,1,—
Kentucky,1,1,—
Maine,1,1,—
Michigan,1,1,—
Minnesota,1,1,—
Missouri,1,1,—
North Dakota,1,1,—
Ohio,1,1,—
Oregon,1,1,—
South Carolina,1,1,—
U.S. Virgin Islands,1,1,—
Virginia,1,1,—
West Virginia,1,1,—
Idaho,1,—,1
North Carolina,1,—,1
Tennessee,1,—,1
